contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
chromosome	3315926	55.64	10.38	49	62	1.0	circular																																																																								
1	876679	46.15	8.5	40	51	0.83	not_circular																																																																								
2	247124	51.32	10.13	44	59	0.92	not_circular																																																																								
3	220505	51.83	6.79	47	56	0.93	not_circular																																																																								
4	141827	50.91	6.55	46	56	0.91	not_circular																																																																								
5	137589	53.67	8.45	48	59	0.96	not_circular																																																																								
6	119286	47.14	5.89	43	50	0.85	not_circular																																																																								
7	48582	57.95	7.97	52	64	1.04	not_circular																																																																								
8	23682	57.03	9.82	49	65	1.02	not_circular																																																																								
9	15858	62.98	7.55	58	69	1.13	not_circular																																																																								
10	758	237.44	7.35	235	242	4.27	not_circular																																																																								
11	253	177.26	4.9	177	179	3.19	not_circular																																																																								
12	213	78.56	1.39	78	80	1.41	not_circular																																																																								
