All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    11813_EXE22_2025_IVF5LA_PBC74148_final  11813_EXE_01_2025_M_PBC74148_final  11813_EXE_03_2025_A_PBC74148_final  11813_EXE_05_2024_A_PBC74148_final  11813_EXE_20_2025_B_PBC74148_final  11813_EXE_22_2025_DG1LF_PBC7_final  11813_EXE_22_2025_DG3A_PBC74148_barcode18_final  11813_EXE_23_2025_L_PBC74148_final  11813_EXE_24_2025_E_PBC74148_final  11813_EXE_25_2025_25N_PBC74148_final  11813_EXE_26_2025_A_PBC74148_final  11813_EXE_29_2025_HH_PBC74148_final  11813_EXE_30_2024_G_PBC74148_final  11813_EXE_30_2025_R_PBC74148_final  11813_EXE_32_2024_G_PBC74148_final  11813_EXE_33_2024_E_PBC74148_final  11813_EX_23_2024_K_PBC74148_final
# contigs (>= 0 bp)         21                                      44                                  519                                 6                                   16                                  338                                 112                                              14                                  3                                   2                                     7                                   5                                    5                                   771                                 7                                   867                                 3                                
# contigs (>= 1000 bp)      21                                      44                                  519                                 6                                   16                                  337                                 111                                              13                                  3                                   2                                     7                                   5                                    5                                   771                                 7                                   867                                 3                                
# contigs (>= 5000 bp)      21                                      44                                  44                                  6                                   16                                  219                                 96                                               12                                  3                                   2                                     7                                   5                                    5                                   121                                 7                                   155                                 3                                
# contigs (>= 10000 bp)     21                                      41                                  1                                   5                                   16                                  143                                 78                                               12                                  3                                   1                                     6                                   5                                    5                                   12                                  7                                   27                                  3                                
# contigs (>= 25000 bp)     21                                      34                                  0                                   5                                   16                                  74                                  50                                               11                                  2                                   1                                     4                                   5                                    4                                   0                                   6                                   0                                   3                                
# contigs (>= 50000 bp)     19                                      20                                  0                                   5                                   15                                  26                                  36                                               9                                   1                                   0                                     4                                   5                                    4                                   0                                   6                                   0                                   3                                
Total length (>= 0 bp)      6142252                                 2361202                             1629067                             4134499                             5171571                             5807831                             6035389                                          4297206                             124333                              31294                                 5967503                             5108874                              6140041                             2778219                             4968120                             3240755                             5334063                          
Total length (>= 1000 bp)   6142252                                 2361202                             1629067                             4134499                             5171571                             5807144                             6034725                                          4296604                             124333                              31294                                 5967503                             5108874                              6140041                             2778219                             4968120                             3240755                             5334063                          
Total length (>= 5000 bp)   6142252                                 2361202                             283866                              4134499                             5171571                             5446195                             5988757                                          4293409                             124333                              31294                                 5967503                             5108874                              6140041                             877407                              4968120                             1213078                             5334063                          
Total length (>= 10000 bp)  6142252                                 2337041                             11939                               4127580                             5171571                             4910975                             5854372                                          4293409                             124333                              25801                                 5957742                             5108874                              6140041                             172560                              4968120                             360853                              5334063                          
Total length (>= 25000 bp)  6142252                                 2219351                             0                                   4127580                             5171571                             3874903                             5392122                                          4280643                             112102                              25801                                 5927841                             5108874                              6128851                             0                                   4951601                             0                                   5334063                          
Total length (>= 50000 bp)  6079393                                 1721590                             0                                   4127580                             5138816                             2201972                             4868367                                          4197320                             76680                               0                                     5927841                             5108874                              6128851                             0                                   4951601                             0                                   5334063                          
# contigs                   21                                      44                                  519                                 6                                   16                                  338                                 112                                              14                                  3                                   2                                     7                                   5                                    5                                   771                                 7                                   867                                 3                                
Largest contig              1147293                                 156953                              11939                               2577235                             880929                              231332                              520797                                           1284051                             76680                               25801                                 2281644                             2239838                              2366177                             24353                               2031908                             22398                               2304084                          
Total length                6142252                                 2361202                             1629067                             4134499                             5171571                             5807831                             6035389                                          4297206                             124333                              31294                                 5967503                             5108874                              6140041                             2778219                             4968120                             3240755                             5334063                          
GC (%)                      44.98                                   43.69                               46.45                               47.54                               44.57                               45.15                               45.07                                            47.57                               44.92                               46.37                                 45.09                               45.37                                45.03                               46.73                               45.58                               46.05                               44.79                            
N50                         396702                                  74962                               2880                                2577235                             419555                              36448                               134728                                           994550                              76680                               25801                                 1837171                             1607294                              1859798                             3960                                1123497                             3833                                1966399                          
N75                         286111                                  43520                               2423                                1111978                             273060                              15657                               70183                                            985549                              35422                               25801                                 1595681                             1607294                              1808546                             2556                                734569                              2558                                1966399                          
L50                         5                                       12                                  185                                 1                                   4                                   43                                  15                                               2                                   1                                   1                                     2                                   2                                    2                                   237                                 2                                   250                                 2                                
L75                         9                                       22                                  341                                 2                                   8                                   99                                  31                                               3                                   2                                   1                                     3                                   2                                    3                                   471                                 3                                   523                                 2                                
# N's per 100 kbp           0.00                                    0.00                                0.00                                0.00                                0.00                                0.00                                0.00                                             0.00                                0.00                                0.00                                  0.00                                0.00                                 0.00                                0.00                                0.00                                0.00                                0.00                             
