Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_13_2025_H_PBC74148	chromosome	3211347	68.69	35.66	41	92	1.0	circular																																																																								
11813_EXE_13_2025_H_PBC74148	1	808875	47.94	24.38	29	62	0.7	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	2	120595	45.99	19.81	36	48	0.67	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	3	73875	68.73	19.46	52	87	1.0	circular																																																																								
11813_EXE_13_2025_H_PBC74148	4	69892	43.08	14.49	31	54	0.63	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	5	53602	54.63	14.34	44	67	0.8	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	6	37167	29.72	11.15	20	40	0.43	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	7	4599	32.93	4.78	29	37	0.48	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	8	1989	45.81	2.95	43	49	0.67	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	9	1508	42.41	0.9	42	43	0.62	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	10	1210	26.6	6.77	18	33	0.39	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	13	357	32.85	0.38	33	33	0.48	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	17	158	32.96	0.24	33	33	0.48	not_circular																																																																								
11813_EXE_22_2025_T1A_PBC74148	chromosome	3353935	54.76	10.28	47	63	1.0	circular																																																																								
11813_EXE_22_2025_T1A_PBC74148	1	1792572	49.61	7.09	44	54	0.91	circular																																																																								
11813_EXE_22_2025_T1A_PBC74148	2	138561	46.2	7.79	39	54	0.84	circular	Yes	NZ_CP071844.1	0.0224927	0.0	453/1000	2256174026.0	Vibrio sp. SCSIO 43009 plasmid unnamed, complete sequence	2022-06-19	circular	complete	2819103.0	plasmid	135905.0	CP071844.1	RefSeq	SAMN18309766	18309766.0	SAMN18309766	China: Hainan Island	18.24 N 109.36 E		Galaxea fascicularis	2017-08-01			12984841.0	GCF_023716525.1	Complete Genome	100.0	2022-06-14	2022-06-14	True	SAMN18309766	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_sp._SCSIO_43009		2819103.0	species	['Bacteria', 'Pseudomonadota', 'Gammaproteobacteria', 'Vibrionales', 'Vibrionaceae', 'Vibrio', 'Vibrio sp. SCSIO 43009', '']	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_sp._SCSIO_43009;	2.0	1224.0	1236.0	135623.0	641.0	662.0	2819103.0		True	True	True		0.0		0.442875538059674	135905.0	Galaxea fascicularis	BIOSAMPLE_Host	Galaxea fascicularis		18.24	109.36		-10.502206	-3.1880584		
11813_EXE_33_2024_C_PBC74148	chromosome	3389647	18.9	4.67	16	22	1.0	circular																																																																								
11813_EXE_33_2024_C_PBC74148	1	338277	17.45	3.87	15	20	0.92	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	2	309606	17.72	4.64	14	21	0.94	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	3	283871	18.5	3.84	16	21	0.98	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	4	217010	16.7	3.35	14	19	0.88	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	5	189243	19.12	4.38	16	22	1.01	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	6	158532	18.15	5.25	15	22	0.96	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	7	120559	20.86	2.91	19	23	1.1	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	8	117475	18.24	4.09	15	20	0.97	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	9	63594	21.09	5.79	16	25	1.12	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	10	4421	17.67	1.39	16	19	0.93	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	11	442	13.15	0.39	13	13	0.7	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	12	155	31.93	0.26	32	32	1.69	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	13	137	28.86	0.35	29	29	1.53	not_circular																																																																								
11813_EXE_06_2024_E_PBC74148	chromosome	3352516	56.23	18.39	43	69	1.0	circular																																																																								
11813_EXE_06_2024_E_PBC74148	1	1865923	47.81	16.58	36	59	0.85	circular																																																																								
11813_EXE_34_2024_C_PBC74148	chromosome	3375298	19.25	4.73	16	22	1.0	circular																																																																								
11813_EXE_34_2024_C_PBC74148	1	1182313	18.03	4.66	15	21	0.94	not_circular																																																																								
11813_EXE_34_2024_C_PBC74148	2	274944	20.12	5.16	16	24	1.05	not_circular																																																																								
11813_EXE_34_2024_C_PBC74148	3	176076	18.48	3.9	16	21	0.96	not_circular																																																																								
11813_EXE_34_2024_C_PBC74148	4	94467	22.19	3.75	19	25	1.15	not_circular																																																																								
11813_EXE_34_2024_C_PBC74148	5	73245	19.04	3.59	17	22	0.99	not_circular																																																																								
11813_EXE_34_2024_C_PBC74148	6	16525	19.82	2.95	18	22	1.03	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	chromosome	3267387	60.55	39.78	30	84	1.0	circular																																																																								
11813_EXE_34_2024_P_PBC74148	1	443928	41.33	27.96	24	53	0.68	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	2	386974	52.41	29.74	26	81	0.87	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	3	214292	59.26	30.34	36	78	0.98	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	4	154499	46.01	31.92	17	67	0.76	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	5	116706	45.71	22.46	27	58	0.75	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	6	105576	43.48	11.85	33	54	0.72	not_circular																																																																								
