#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_494	11939	25	N	N	2	*	*,494,*
contig_510	9974	20	N	N	1	*	*,510,*
contig_497	9539	14	N	N	1	*	*,497,*
contig_492	8208	29	N	Y	2	*	*,492,*
contig_490	8190	21	N	N	2	*	*,490,*
contig_488	7651	14	N	N	1	*	*,488,*
contig_88	7184	16	N	N	1	*	*,88,*
contig_79	7018	27	N	N	3	*	*,79,*
contig_406	6922	35	N	Y	3	*	*,406,*
contig_255	6888	21	N	N	1	*	*,255,*
contig_487	6887	29	N	Y	2	*	*,487,*
contig_517	6687	24	N	N	2	*	*,517,*
contig_428	6683	7	N	N	1	*	*,428,*
contig_519	6665	24	N	N	2	*	*,519,*
contig_73	6609	16	N	N	1	*	*,73,*
contig_96	6466	41	N	Y	3	*	*,96,*
contig_11	6414	34	N	Y	3	*	*,11,*
contig_504	6349	23	N	N	1	*	*,504,*
contig_469	6301	26	N	N	2	*	*,469,*
contig_326	6285	21	N	N	1	*	*,326,*
contig_302	6278	34	N	Y	3	*	*,302,*
contig_233	6093	11	N	N	1	*	*,233,*
contig_178	6080	14	N	N	1	*	*,178,*
contig_136	6040	8	N	N	1	*	*,136,*
contig_506	5957	20	N	N	1	*	*,506,*
contig_502	5893	20	N	N	1	*	*,502,*
contig_495	5845	25	N	N	1	*	*,495,*
contig_292	5842	6	N	N	1	*	*,292,*
contig_115	5826	10	N	N	1	*	*,115,*
contig_397	5758	28	N	N	2	*	*,397,*
contig_160	5630	24	N	N	2	*	*,160,*
contig_500	5612	11	N	N	1	*	*,500,*
contig_325	5608	10	N	N	1	*	*,325,*
contig_86	5547	15	N	N	1	*	*,86,*
contig_32	5525	29	N	Y	2	*	*,32,*
contig_466	5478	27	N	Y	2	*	*,466,*
contig_480	5456	20	N	N	1	*	*,480,*
contig_235	5398	7	N	N	1	*	*,235,*
contig_489	5336	30	N	Y	2	*	*,489,*
contig_145	5192	32	N	Y	2	*	*,145,*
contig_245	5191	27	N	Y	2	*	*,245,*
contig_259	5191	11	N	N	1	*	*,259,*
contig_18	5180	19	N	N	1	*	*,18,*
contig_460	5065	22	N	N	2	*	*,460,*
contig_187	4995	7	N	N	1	*	*,187,*
contig_263	4990	6	N	N	1	*	*,263,*
contig_439	4932	5	N	N	1	*	*,439,*
contig_199	4898	23	N	N	2	*	*,199,*
contig_433	4861	31	N	Y	2	*	*,433,*
contig_117	4774	15	N	N	1	*	*,117,*
contig_431	4759	6	N	N	1	*	*,431,*
contig_290	4753	14	N	N	1	*	*,290,*
contig_238	4736	7	N	N	1	*	*,238,*
contig_374	4724	22	N	N	2	*	*,374,*
contig_228	4713	11	N	N	1	*	*,228,*
contig_467	4713	16	N	N	1	*	*,467,*
contig_514	4694	24	N	N	2	*	*,514,*
contig_33	4679	11	N	N	1	*	*,33,*
contig_87	4641	13	N	N	1	*	*,87,*
contig_405	4619	9	N	N	1	*	*,405,*
contig_496	4589	12	N	N	1	*	*,496,*
contig_59	4577	21	N	N	2	*	*,59,*
contig_274	4551	21	N	N	1	*	*,274,*
contig_438	4533	11	N	N	1	*	*,438,*
contig_474	4511	16	N	N	1	*	*,474,*
contig_30	4508	31	N	N	3	*	*,30,*
contig_35	4502	13	N	N	1	*	*,35,*
contig_39	4491	16	N	N	1	*	*,39,*
contig_209	4484	18	N	N	1	*	*,209,*
contig_483	4484	21	N	N	1	*	*,483,*
contig_481	4477	19	N	N	1	*	*,481,*
contig_62	4476	20	N	N	1	*	*,62,*
contig_68	4470	13	N	N	1	*	*,68,*
contig_518	4458	14	N	N	2	*	*,518,*
contig_103	4401	19	N	N	2	*	*,103,*
contig_289	4394	25	N	N	2	*	*,289,*
contig_378	4390	10	N	N	1	*	*,378,*
contig_317	4365	24	N	N	2	*	*,317,*
contig_197	4328	22	N	N	2	*	*,197,*
contig_509	4290	20	N	N	1	*	*,509,*
contig_201	4285	7	N	N	1	*	*,201,*
contig_65	4272	24	N	Y	2	*	*,65,*
contig_85	4251	21	N	N	1	*	*,85,*
contig_293	4236	23	N	N	2	*	*,293,*
contig_453	4206	18	N	N	2	*	*,453,*
contig_152	4185	16	N	N	1	*	*,152,*
contig_329	4183	11	N	N	1	*	*,329,*
contig_505	4165	21	N	N	1	*	*,505,*
contig_464	4152	8	N	N	1	*	*,464,*
contig_475	4130	7	N	N	1	*	*,475,*
contig_478	4127	18	N	N	1	*	*,478,*
contig_248	4121	21	N	N	2	*	*,248,*
contig_214	4083	20	N	N	2	*	*,214,*
contig_485	4053	13	N	N	1	*	*,485,*
contig_491	4052	16	N	N	1	*	*,491,*
contig_511	3979	8	N	N	1	*	*,511,*
contig_151	3970	27	N	Y	2	*	*,151,*
contig_215	3963	15	N	N	1	*	*,215,*
contig_508	3910	13	N	N	1	*	*,508,*
contig_120	3909	8	N	N	1	*	*,120,*
contig_66	3889	17	N	N	1	*	*,66,*
contig_130	3887	14	N	N	1	*	*,130,*
contig_229	3884	22	N	N	2	*	*,229,*
contig_132	3882	16	N	N	1	*	*,132,*
contig_515	3882	22	N	N	1	*	*,515,*
contig_26	3879	9	N	N	1	*	*,26,*
contig_212	3873	6	N	N	1	*	*,212,*
contig_507	3869	14	N	N	1	*	*,507,*
contig_175	3860	19	N	N	1	*	*,175,*
contig_416	3856	25	N	N	2	*	*,416,*
contig_45	3818	27	N	N	2	*	*,45,*
contig_476	3813	20	N	N	1	*	*,476,*
contig_336	3801	3	N	N	1	*	*,336,*
contig_468	3782	8	N	N	1	*	*,468,*
contig_501	3765	15	N	N	1	*	*,501,*
contig_108	3760	17	N	N	1	*	*,108,*
contig_71	3745	17	N	N	1	*	*,71,*
contig_339	3712	12	N	N	1	*	*,339,*
contig_498	3687	32	N	Y	2	*	*,498,*
contig_503	3652	14	N	N	1	*	*,503,*
contig_21	3605	28	N	Y	2	*	*,21,*
contig_279	3603	12	N	N	1	*	*,279,*
contig_472	3577	23	N	N	2	*	*,472,*
contig_193	3555	6	N	N	1	*	*,193,*
contig_63	3551	13	N	N	1	*	*,63,*
contig_166	3511	15	N	N	1	*	*,166,*
contig_371	3488	12	N	N	1	*	*,371,*
contig_106	3456	14	N	N	2	*	*,106,*
contig_493	3450	16	N	N	1	*	*,493,*
contig_249	3448	6	N	N	1	*	*,249,*
contig_436	3440	10	N	N	1	*	*,436,*
contig_19	3427	14	N	N	1	*	*,19,*
contig_220	3424	10	N	N	1	*	*,220,*
contig_20	3387	11	N	N	1	*	*,20,*
contig_135	3377	11	N	N	1	*	*,135,*
contig_430	3348	14	N	N	1	*	*,430,*
contig_113	3338	11	N	N	1	*	*,113,*
contig_91	3336	20	N	N	2	*	*,91,*
contig_369	3334	47	N	Y	4	*	*,369,*
contig_413	3315	4	N	N	1	*	*,413,*
contig_410	3306	5	N	N	1	*	*,410,*
contig_365	3303	15	N	N	1	*	*,365,*
contig_119	3273	31	N	Y	2	*	*,119,*
contig_280	3269	6	N	N	1	*	*,280,*
contig_17	3264	18	N	N	1	*	*,17,*
contig_207	3258	10	N	N	1	*	*,207,*
contig_94	3243	23	N	N	2	*	*,94,*
contig_272	3241	10	N	N	1	*	*,272,*
contig_9	3237	34	N	Y	3	*	*,9,*
contig_366	3226	19	N	N	1	*	*,366,*
contig_356	3217	18	N	N	1	*	*,356,*
contig_109	3187	4	N	N	1	*	*,109,*
contig_244	3179	9	N	N	1	*	*,244,*
contig_183	3154	14	N	N	1	*	*,183,*
contig_381	3147	11	N	N	1	*	*,381,*
contig_23	3137	23	N	N	1	*	*,23,*
contig_276	3137	5	N	N	1	*	*,276,*
contig_139	3122	15	N	N	1	*	*,139,*
contig_234	3102	19	N	N	1	*	*,234,*
contig_153	3101	8	N	N	1	*	*,153,*
contig_346	3101	13	N	N	1	*	*,346,*
contig_283	3092	8	N	N	1	*	*,283,*
contig_224	3088	11	N	N	1	*	*,224,*
contig_373	3086	8	N	N	1	*	*,373,*
contig_288	3072	15	N	N	2	*	*,288,*
contig_328	3043	9	N	N	1	*	*,328,*
contig_345	3024	8	N	N	1	*	*,345,*
contig_375	3024	9	N	N	1	*	*,375,*
contig_169	3019	7	N	N	1	*	*,169,*
contig_390	3019	8	N	N	1	*	*,390,*
contig_163	3018	17	N	N	1	*	*,163,*
contig_335	3009	5	N	N	1	*	*,335,*
contig_158	3008	22	N	N	2	*	*,158,*
contig_118	3005	11	N	N	1	*	*,118,*
contig_194	2994	7	N	N	1	*	*,194,*
contig_370	2989	21	N	N	1	*	*,370,*
contig_122	2972	12	N	N	1	*	*,122,*
contig_354	2951	12	N	N	1	*	*,354,*
contig_202	2934	12	N	N	1	*	*,202,*
contig_332	2934	13	N	N	1	*	*,332,*
contig_64	2929	21	N	N	1	*	*,64,*
contig_399	2911	10	N	N	1	*	*,399,*
contig_236	2884	12	N	N	1	*	*,236,*
contig_451	2883	8	N	N	1	*	*,451,*
contig_319	2882	16	N	N	1	*	*,319,*
contig_247	2880	15	N	N	1	*	*,247,*
contig_309	2879	8	N	N	1	*	*,309,*
contig_285	2872	8	N	N	1	*	*,285,*
contig_89	2861	16	N	N	1	*	*,89,*
contig_314	2844	10	N	N	1	*	*,314,*
contig_7	2839	16	N	N	1	*	*,7,*
contig_415	2828	6	N	N	1	*	*,415,*
contig_357	2823	12	N	N	1	*	*,357,*
contig_422	2823	14	N	N	1	*	*,422,*
contig_143	2818	13	N	N	1	*	*,143,*
contig_382	2816	6	N	N	1	*	*,382,*
contig_446	2815	7	N	N	1	*	*,446,*
contig_42	2813	22	N	N	2	*	*,42,*
contig_327	2810	8	N	N	1	*	*,327,*
contig_395	2810	8	N	N	2	*	*,395,*
contig_420	2810	7	N	N	1	*	*,420,*
contig_213	2795	10	N	N	2	*	*,213,*
contig_155	2783	14	N	N	1	*	*,155,*
contig_470	2774	22	N	N	1	*	*,470,*
contig_6	2774	24	N	N	2	*	*,6,*
contig_204	2772	21	N	N	2	*	*,204,*
contig_251	2770	10	N	N	1	*	*,251,*
contig_267	2769	11	N	N	1	*	*,267,*
contig_402	2767	8	N	N	1	*	*,402,*
contig_338	2763	24	N	N	2	*	*,338,*
contig_80	2761	30	N	Y	2	*	*,80,*
contig_182	2759	14	N	N	1	*	*,182,*
contig_76	2759	6	N	N	1	*	*,76,*
contig_445	2758	11	N	N	1	*	*,445,*
contig_343	2756	12	N	N	1	*	*,343,*
contig_352	2753	9	N	N	1	*	*,352,*
contig_411	2748	16	N	N	1	*	*,411,*
contig_296	2742	12	N	N	1	*	*,296,*
contig_308	2742	6	N	N	1	*	*,308,*
contig_441	2738	7	N	N	1	*	*,441,*
contig_189	2736	13	N	N	1	*	*,189,*
contig_353	2733	6	N	N	1	*	*,353,*
contig_54	2732	29	N	Y	2	*	*,54,*
contig_448	2719	16	N	N	1	*	*,448,*
contig_442	2716	18	N	N	1	*	*,442,*
contig_208	2714	24	N	N	3	*	*,208,*
contig_301	2712	11	N	N	1	*	*,301,*
contig_171	2707	15	N	N	1	*	*,171,*
contig_387	2704	11	N	N	1	*	*,387,*
contig_41	2700	17	N	N	1	*	*,41,*
contig_195	2694	17	N	N	1	*	*,195,*
contig_138	2690	26	N	N	2	*	*,138,*
contig_377	2688	5	N	N	1	*	*,377,*
contig_126	2684	4	N	N	1	*	*,126,*
contig_200	2684	11	N	N	1	*	*,200,*
contig_421	2681	6	N	N	1	*	*,421,*
contig_268	2679	8	N	N	1	*	*,268,*
contig_367	2674	9	N	N	1	*	*,367,*
contig_322	2670	21	N	N	2	*	*,322,*
contig_473	2667	14	N	N	1	*	*,473,*
contig_256	2666	17	N	N	1	*	*,256,*
contig_270	2666	11	N	N	1	*	*,270,*
contig_306	2662	14	N	N	1	*	*,306,*
contig_298	2658	9	N	N	1	*	*,298,*
contig_191	2656	6	N	N	1	*	*,191,*
contig_223	2656	11	N	N	1	*	*,223,*
contig_116	2653	6	N	N	1	*	*,116,*
contig_385	2653	8	N	N	1	*	*,385,*
contig_258	2652	16	N	N	1	*	*,258,*
contig_10	2634	6	N	N	1	*	*,10,*
contig_217	2632	19	N	N	1	*	*,217,*
contig_174	2624	16	N	N	1	*	*,174,*
contig_300	2622	19	N	N	1	*	*,300,*
contig_67	2622	17	N	N	1	*	*,67,*
contig_78	2618	10	N	N	1	*	*,78,*
contig_111	2617	22	N	N	2	*	*,111,*
contig_400	2617	10	N	N	1	*	*,400,*
contig_82	2616	10	N	N	1	*	*,82,*
contig_205	2612	8	N	N	1	*	*,205,*
contig_25	2611	16	N	N	1	*	*,25,*
contig_383	2611	8	N	N	2	*	*,383,*
contig_401	2609	11	N	N	1	*	*,401,*
contig_278	2601	8	N	N	1	*	*,278,*
contig_423	2600	19	N	N	1	*	*,423,*
contig_347	2599	13	N	N	1	*	*,347,*
contig_363	2596	17	N	N	1	*	*,363,*
contig_389	2594	12	N	N	1	*	*,389,*
contig_393	2579	9	N	N	1	*	*,393,*
contig_181	2574	15	N	N	1	*	*,181,*
contig_15	2573	7	N	N	1	*	*,15,*
contig_376	2570	6	N	N	1	*	*,376,*
contig_110	2567	26	N	N	3	*	*,110,*
contig_307	2561	18	N	N	1	*	*,307,*
contig_34	2561	18	N	N	1	*	*,34,*
contig_57	2561	15	N	N	1	*	*,57,*
contig_186	2558	44	N	Y	4	*	*,186,*
contig_159	2555	5	N	N	1	*	*,159,*
contig_408	2555	14	N	N	1	*	*,408,*
contig_394	2554	7	N	N	1	*	*,394,*
contig_230	2551	22	N	N	2	*	*,230,*
contig_340	2551	11	N	N	1	*	*,340,*
contig_146	2549	18	N	N	1	*	*,146,*
contig_92	2547	20	N	N	1	*	*,92,*
contig_84	2545	8	N	N	1	*	*,84,*
contig_471	2542	21	N	N	2	*	*,471,*
contig_125	2535	5	N	N	1	*	*,125,*
contig_219	2535	12	N	N	1	*	*,219,*
contig_81	2530	6	N	N	1	*	*,81,*
contig_221	2529	23	N	N	1	*	*,221,*
contig_486	2526	17	N	N	1	*	*,486,*
contig_419	2525	15	N	N	1	*	*,419,*
contig_334	2523	8	N	N	1	*	*,334,*
contig_157	2519	6	N	N	1	*	*,157,*
contig_350	2517	4	N	N	1	*	*,350,*
contig_310	2512	14	N	N	1	*	*,310,*
contig_349	2510	11	N	N	2	*	*,349,*
contig_40	2510	22	N	N	2	*	*,40,*
contig_147	2505	12	N	N	1	*	*,147,*
contig_101	2499	24	N	N	2	*	*,101,*
contig_277	2499	15	N	N	1	*	*,277,*
contig_386	2498	6	N	N	1	*	*,386,*
contig_253	2495	6	N	N	1	*	*,253,*
contig_305	2494	19	N	N	1	*	*,305,*
contig_104	2493	9	N	N	1	*	*,104,*
contig_196	2492	22	N	N	1	*	*,196,*
contig_333	2492	10	N	N	1	*	*,333,*
contig_437	2490	8	N	N	1	*	*,437,*
contig_27	2483	36	N	Y	3	*	*,27,*
contig_320	2482	9	N	N	1	*	*,320,*
contig_140	2480	8	N	N	1	*	*,140,*
contig_351	2480	23	N	N	2	*	*,351,*
contig_368	2479	32	N	N	2	*	*,368,*
contig_482	2477	8	N	N	1	*	*,482,*
contig_355	2475	17	N	N	1	*	*,355,*
contig_170	2472	9	N	N	1	*	*,170,*
contig_434	2471	14	N	N	1	*	*,434,*
contig_50	2470	19	N	N	1	*	*,50,*
contig_324	2464	6	N	N	1	*	*,324,*
