contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3587961	45.39	False
plasmid00001	plasmid	642078	45.47	False
plasmid00002	plasmid	360604	45.49	False
plasmid00003	plasmid	279860	44.21	False
plasmid00004	plasmid	149991	44.66	False
plasmid00005	plasmid	67519	45.47	True
plasmid00006	plasmid	30108	43.37	False
plasmid00007	plasmid	20586	44.29	False
plasmid00008	plasmid	19631	43.98	False
plasmid00009	plasmid	15110	45.81	False
plasmid00010	plasmid	10753	46.15	False
plasmid00011	plasmid	9043	46.83	False
plasmid00012	plasmid	8583	46.88	False
plasmid00013	plasmid	7027	46.35	False
plasmid00014	plasmid	6753	46.78	False
plasmid00015	plasmid	4871	49.91	False
plasmid00016	plasmid	4250	45.72	False
plasmid00017	plasmid	4066	46.11	False
plasmid00018	plasmid	3455	46.31	False
plasmid00019	plasmid	3363	46.42	False
plasmid00020	plasmid	2893	46.25	False
plasmid00021	plasmid	2713	44.71	False
plasmid00022	plasmid	1522	49.15	False
plasmid00023	plasmid	965	44.25	False
plasmid00024	plasmid	616	43.02	False
plasmid00025	plasmid	578	49.48	False
plasmid00026	plasmid	470	51.06	False
plasmid00027	plasmid	417	44.6	False
plasmid00028	plasmid	385	49.61	False
plasmid00029	plasmid	277	39.71	False
plasmid00030	plasmid	207	45.89	False
plasmid00031	plasmid	193	55.96	False
plasmid00032	plasmid	192	43.23	False
plasmid00033	plasmid	182	50.0	False
plasmid00034	plasmid	170	45.29	False
plasmid00035	plasmid	130	43.85	False
plasmid00036	plasmid	112	44.64	False
plasmid00037	plasmid	106	49.06	False
plasmid00038	plasmid	104	50.0	False
