#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_22	1147298	58	N	N	1	*	22
contig_14	911611	52	N	N	1	*	*,14,15,-16,15,-16,15
contig_17	521740	48	N	N	1	*	*,17,*
contig_20	410650	27	N	N	1	*	*,20,*
contig_18	396705	42	N	N	1	*	*,18,*
contig_13	350632	22	N	N	1	*	*,13,*
contig_3	313201	22	N	N	1	*	3
contig_4	291121	32	N	N	1	*	4,*
contig_19	286124	32	N	N	1	*	*,19,*
contig_21	200904	33	N	N	1	*	*,21,*
contig_10	183297	27	N	N	1	*	*,10,*
contig_6	167746	37	N	N	1	*	6,*
contig_5	157029	28	N	N	1	*	5,*
contig_1	155621	37	N	N	1	*	*,1,*
contig_23	151050	45	N	N	1	*	23
contig_2	140216	43	N	N	1	*	*,2
contig_9	132776	22	N	N	1	*	*,9,*
contig_24	91776	31	Y	N	1	*	24
contig_11	70061	37	N	N	1	*	*,11,*
contig_7	32473	13	N	N	1	*	*,7,*
contig_12	30388	16	N	N	1	*	*,12,*
