Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
11813_EXE_01_2024_7_PBC74148_final	27	24	23	18	13	9	5297337	5296072	5292264	5252492	5181530	5023059	25	3319419	5297070	44.59	3319419	982515	1	2	0.00
11813_EXE_06_2024_E_PBC74148_final	2	2	2	2	2	2	5218439	5218439	5218439	5218439	5218439	5218439	2	3352516	5218439	44.84	3352516	1865923	1	2	0.00
11813_EXE_09_2024_B_PBC74148_final	33	32	28	26	20	13	5333978	5332980	5318792	5302415	5201311	4970311	33	3358984	5333978	44.63	3358984	139920	1	4	0.00
11813_EXE_12_2025_A_PBC74148_final	10	5	5	5	4	4	5123589	5122242	5122242	5122242	5104372	5104372	6	3241113	5122773	44.82	3241113	1690777	1	2	0.00
11813_EXE_13_2025_H_PBC74148_final	13	11	7	7	7	6	4385174	4384659	4375353	4375353	4375353	4338186	11	3211347	4384659	42.85	3211347	808875	1	2	0.00
11813_EXE_19_2024_M_PBC74148_final	71	58	34	22	13	5	5144380	5138316	5070743	4986139	4848515	4579679	63	3316628	5142478	44.88	3316628	790578	1	2	0.00
11813_EXE_20_2024_J_PBC74148_final	2	2	2	2	2	2	5202567	5202567	5202567	5202567	5202567	5202567	2	3334477	5202567	44.88	3334477	1868090	1	2	0.00
11813_EXE_21_2025_F_PBC74148_final	33	24	20	18	13	12	5326858	5325000	5310317	5293644	5215321	5172843	24	3351839	5325000	44.59	3351839	403563	1	3	0.00
11813_EXE_22_2025_T1A_PBC74148_final	3	3	3	3	3	3	5285069	5285069	5285069	5285069	5285069	5285069	3	3353936	5285069	44.79	3353936	1792572	1	2	0.00
11813_EXE_26_2025_C_PBC74148_final	39	23	15	11	7	6	5247844	5242740	5215607	5184201	5118121	5088013	26	3587961	5244899	45.32	3587961	642078	1	2	0.00
11813_EXE_27_2025_A_PBC74148_final	6	6	5	5	5	4	6204871	6204871	6203402	6203402	6203402	6172309	6	3828699	6204871	44.92	3828699	2174611	1	2	0.00
11813_EXE_27_2025_D_PBC74148_final	6	6	6	5	5	5	5194567	5194567	5194567	5185453	5185453	5185453	6	3368927	5194567	44.80	3368927	1036026	1	2	0.00
11813_EXE_28_2025_A_PBC74148_final	14	10	9	7	7	5	5252430	5250136	5248611	5230497	5230497	5144779	12	3098159	5251920	44.13	3098159	1742049	1	2	0.00
11813_EXE_28_2025_W_PBC74148_final	2	2	2	2	2	2	4234954	4234954	4234954	4234954	4234954	4234954	2	3023614	4234954	45.25	3023614	1211340	1	2	0.00
11813_EXE_29_2025_K_PBC74148_final	11	11	11	11	10	9	5837471	5837471	5837471	5837471	5821118	5781638	11	2802914	5837471	45.10	886854	752023	2	3	0.00
11813_EXE_29_2025_V_PBC74148_final	3	3	3	3	3	3	5260959	5260959	5260959	5260959	5260959	5260959	3	3313267	5260959	44.94	3313267	1815467	1	2	0.00
11813_EXE_30_2024_F_PBC74148_final	20	18	17	17	12	9	5330846	5330579	5329477	5329477	5249075	5155710	18	3352933	5330579	44.60	3352933	1100289	1	2	0.00
11813_EXE_30_2025_L_PBC74148_final	21	20	17	16	13	8	5217583	5216867	5210155	5202686	5140744	4983042	21	3368879	5217583	44.61	3368879	635152	1	2	0.00
11813_EXE_30_2025_S_PBC74148_final	11	9	9	9	8	7	4979636	4979266	4979266	4979266	4967140	4932208	9	3201228	4979266	45.47	3201228	743425	1	2	0.00
11813_EXE_33_2024_C_PBC74148_final	14	11	10	10	10	10	5192967	5192233	5187812	5187812	5187812	5187812	11	3389645	5192233	44.81	3389645	309606	1	3	0.00
11813_EXE_33_2024_F_PBC74148_final	9	8	8	8	7	5	5003445	5002768	5002768	5002768	4985878	4893516	9	3267359	5003445	45.43	3267359	902223	1	2	0.00
11813_EXE_34_2024_C_PBC74148_final	7	7	7	7	6	6	5192869	5192869	5192869	5192869	5176344	5176344	7	3375299	5192869	44.83	3375299	1182313	1	2	0.00
11813_EXE_34_2024_P_PBC74148_final	13	12	11	11	11	9	4878188	4877922	4873276	4873276	4873276	4801125	12	3267373	4877922	45.47	3267373	443928	1	2	0.00
