Assembly	11813_EXE_01_2024_7_PBC74148_final	11813_EXE_06_2024_E_PBC74148_final	11813_EXE_09_2024_B_PBC74148_final	11813_EXE_12_2025_A_PBC74148_final	11813_EXE_13_2025_H_PBC74148_final	11813_EXE_19_2024_M_PBC74148_final	11813_EXE_20_2024_J_PBC74148_final	11813_EXE_21_2025_F_PBC74148_final	11813_EXE_22_2025_T1A_PBC74148_final	11813_EXE_26_2025_C_PBC74148_final	11813_EXE_27_2025_A_PBC74148_final	11813_EXE_27_2025_D_PBC74148_final	11813_EXE_28_2025_A_PBC74148_final	11813_EXE_28_2025_W_PBC74148_final	11813_EXE_29_2025_K_PBC74148_final	11813_EXE_29_2025_V_PBC74148_final	11813_EXE_30_2024_F_PBC74148_final	11813_EXE_30_2025_L_PBC74148_final	11813_EXE_30_2025_S_PBC74148_final	11813_EXE_33_2024_C_PBC74148_final	11813_EXE_33_2024_F_PBC74148_final	11813_EXE_34_2024_C_PBC74148_final	11813_EXE_34_2024_P_PBC74148_final
# contigs (>= 0 bp)	27	2	33	10	13	71	2	33	3	39	6	6	14	2	11	3	20	21	11	14	9	7	13
# contigs (>= 1000 bp)	24	2	32	5	11	58	2	24	3	23	6	6	10	2	11	3	18	20	9	11	8	7	12
# contigs (>= 5000 bp)	23	2	28	5	7	34	2	20	3	15	5	6	9	2	11	3	17	17	9	10	8	7	11
# contigs (>= 10000 bp)	18	2	26	5	7	22	2	18	3	11	5	5	7	2	11	3	17	16	9	10	8	7	11
# contigs (>= 25000 bp)	13	2	20	4	7	13	2	13	3	7	5	5	7	2	10	3	12	13	8	10	7	6	11
# contigs (>= 50000 bp)	9	2	13	4	6	5	2	12	3	6	4	5	5	2	9	3	9	8	7	10	5	6	9
Total length (>= 0 bp)	5297337	5218439	5333978	5123589	4385174	5144380	5202567	5326858	5285069	5247844	6204871	5194567	5252430	4234954	5837471	5260959	5330846	5217583	4979636	5192967	5003445	5192869	4878188
Total length (>= 1000 bp)	5296072	5218439	5332980	5122242	4384659	5138316	5202567	5325000	5285069	5242740	6204871	5194567	5250136	4234954	5837471	5260959	5330579	5216867	4979266	5192233	5002768	5192869	4877922
Total length (>= 5000 bp)	5292264	5218439	5318792	5122242	4375353	5070743	5202567	5310317	5285069	5215607	6203402	5194567	5248611	4234954	5837471	5260959	5329477	5210155	4979266	5187812	5002768	5192869	4873276
Total length (>= 10000 bp)	5252492	5218439	5302415	5122242	4375353	4986139	5202567	5293644	5285069	5184201	6203402	5185453	5230497	4234954	5837471	5260959	5329477	5202686	4979266	5187812	5002768	5192869	4873276
Total length (>= 25000 bp)	5181530	5218439	5201311	5104372	4375353	4848515	5202567	5215321	5285069	5118121	6203402	5185453	5230497	4234954	5821118	5260959	5249075	5140744	4967140	5187812	4985878	5176344	4873276
Total length (>= 50000 bp)	5023059	5218439	4970311	5104372	4338186	4579679	5202567	5172843	5285069	5088013	6172309	5185453	5144779	4234954	5781638	5260959	5155710	4983042	4932208	5187812	4893516	5176344	4801125
# contigs	25	2	33	6	11	63	2	24	3	26	6	6	12	2	11	3	18	21	9	11	9	7	12
Largest contig	3319419	3352516	3358984	3241113	3211347	3316628	3334477	3351839	3353936	3587961	3828699	3368927	3098159	3023614	2802914	3313267	3352933	3368879	3201228	3389645	3267359	3375299	3267373
Total length	5297070	5218439	5333978	5122773	4384659	5142478	5202567	5325000	5285069	5244899	6204871	5194567	5251920	4234954	5837471	5260959	5330579	5217583	4979266	5192233	5003445	5192869	4877922
GC (%)	44.59	44.84	44.63	44.82	42.85	44.88	44.88	44.59	44.79	45.32	44.92	44.80	44.13	45.25	45.10	44.94	44.60	44.61	45.47	44.81	45.43	44.83	45.47
N50	3319419	3352516	3358984	3241113	3211347	3316628	3334477	3351839	3353936	3587961	3828699	3368927	3098159	3023614	886854	3313267	3352933	3368879	3201228	3389645	3267359	3375299	3267373
N75	982515	1865923	139920	1690777	808875	790578	1868090	403563	1792572	642078	2174611	1036026	1742049	1211340	752023	1815467	1100289	635152	743425	309606	902223	1182313	443928
L50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
L75	2	2	4	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
