Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_19_2024_M_PBC74148	chromosome	3316642	56.83	27.19	36	75	1.0	circular																																																																								
11813_EXE_19_2024_M_PBC74148	1	790578	40.73	20.12	26	55	0.72	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	2	204491	42.41	15.61	30	53	0.75	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	3	135739	49.44	29.31	25	64	0.87	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	4	132243	50.59	30.66	30	60	0.89	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	5	40355	50.3	25.32	27	60	0.89	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	6	39787	43.74	8.37	38	46	0.77	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	7	36361	44.01	20.91	26	56	0.77	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	8	35321	63.54	28.63	44	79	1.12	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	9	32384	61.98	19.7	44	77	1.09	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	10	30989	48.84	22.79	30	64	0.86	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	11	28532	38.88	10.87	29	43	0.68	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	12	25107	38.43	17.11	24	53	0.68	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	13	23778	53.44	20.0	37	70	0.94	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	14	21342	56.12	31.67	26	80	0.99	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	15	16270	40.6	8.63	33	45	0.71	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	16	14596	46.73	4.25	44	49	0.82	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	17	13758	59.05	2.68	57	61	1.04	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	18	12703	52.71	4.14	49	56	0.93	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	19	12297	56.7	11.09	47	68	1.0	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	20	11912	51.53	5.1	48	55	0.91	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	21	10968	45.03	6.84	41	48	0.79	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	22	9433	46.91	5.68	42	51	0.83	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	23	8953	92.87	6.29	88	99	1.63	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	24	8665	111.32	7.93	106	118	1.96	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	25	8640	49.05	3.62	46	52	0.86	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	26	7180	62.7	1.83	61	64	1.1	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	27	6826	86.75	4.92	83	91	1.53	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	28	6542	74.0	6.87	70	79	1.3	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	29	6528	74.02	4.83	69	78	1.3	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	30	5729	111.33	9.32	104	118	1.96	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	31	5602	72.24	7.28	67	79	1.27	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	32	5410	46.54	2.37	45	48	0.82	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	33	5096	52.27	1.49	51	53	0.92	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	34	4661	71.83	8.74	65	80	1.26	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	35	4654	121.9	3.93	121	124	2.14	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	36	4567	101.3	3.85	97	104	1.78	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	37	4370	101.05	4.29	98	104	1.78	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	38	4196	78.23	3.46	75	82	1.38	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	39	3590	65.24	3.03	63	67	1.15	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	40	3570	56.32	2.38	54	58	0.99	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	41	3490	126.64	2.66	125	128	2.23	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	42	3238	109.45	1.94	108	111	1.93	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	43	3054	55.08	1.93	54	56	0.97	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	44	2931	118.92	5.19	115	123	2.09	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	45	2816	78.79	3.56	76	82	1.39	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	46	2481	108.03	2.24	107	109	1.9	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	47	2353	63.73	4.06	62	67	1.12	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	48	2347	106.01	1.72	105	107	1.87	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	49	2294	70.7	3.99	67	74	1.24	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	50	2124	98.86	4.17	95	103	1.74	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	51	2022	65.26	2.21	64	67	1.15	not_circular																																																																								
11813_EXE_19_2024_M_PBC74148	52	1967	118.91	3.48	118	121	2.09	not_circular																																																																								
