Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_34_2024_P_PBC74148	chromosome	3267387	60.55	39.78	30	84	1.0	circular																																																																								
11813_EXE_34_2024_P_PBC74148	1	443928	41.33	27.96	24	53	0.68	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	2	386974	52.41	29.74	26	81	0.87	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	3	214292	59.26	30.34	36	78	0.98	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	4	154499	46.01	31.92	17	67	0.76	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	5	116706	45.71	22.46	27	58	0.75	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	6	105576	43.48	11.85	33	54	0.72	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	7	56218	47.43	10.34	40	57	0.78	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	8	55559	18.33	6.49	14	22	0.3	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	9	44604	43.62	2.77	43	45	0.72	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	10	27547	99.45	25.48	78	116	1.64	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	11	4646	30.23	6.74	23	37	0.5	not_circular																																																																								
11813_EXE_34_2024_P_PBC74148	14	266	48.09	0.87	48	49	0.79	not_circular																																																																								
