accession	organism_name	tax_id	best_match_organism	ani	best_type_assembly	best_match_category	match_status	taxonomy_check_status	submitted_organism
GCF_012151155.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_012151295.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_012151455.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_012151595.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_020991225.1	Vibrio alginolyticus	663	Vibrio diabolicus	98	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024744175.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024744195.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024744375.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	97.94	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024744525.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	97.89	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024745435.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.02	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024746535.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.08	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_024746645.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_002868815.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.31	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_012151155.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_012151295.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_012151455.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_012151595.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_020991225.1	Vibrio alginolyticus	663	Vibrio diabolicus	98	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024744175.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024744195.1	Vibrio alginolyticus	663	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024744375.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	97.94	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024744525.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	97.89	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024745435.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.02	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024746535.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.08	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_024746645.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCA_043843475.1	Vibrio alginolyticus	663	Vibrio chemaguriensis	98.07	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio alginolyticus
GCF_000024825.1	Vibrio antiquarius	150340	Vibrio antiquarius	99.99	GCA_000152485.1	suspected_type	species_match	OK	Vibrio antiquarius
GCF_000152485.1	Vibrio antiquarius	150340	Vibrio antiquarius	99.99	GCA_000024825.1	suspected_type	species_match	OK	Vibrio antiquarius
GCF_001909305.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.04	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_021440305.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.06	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024743515.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.1	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024743855.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.99	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744055.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744075.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744095.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744135.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744845.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.97	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024744965.1	Vibrio antiquarius	150340	Vibrio diabolicus	97.91	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746035.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746045.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746195.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746235.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.13	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746245.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.13	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746275.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.06	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746585.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.03	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCF_024746715.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.15	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_000024825.1	Vibrio antiquarius	150340	Vibrio antiquarius	99.99	GCA_000152485.1	suspected_type	species_match	OK	Vibrio antiquarius
GCA_000152485.1	Vibrio antiquarius	150340	Vibrio antiquarius	99.99	GCA_000024825.1	suspected_type	species_match	OK	Vibrio antiquarius
GCA_001909305.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.04	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_021440305.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.06	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024743515.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.1	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024743855.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.99	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744055.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744075.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744095.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744135.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744845.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.97	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024744965.1	Vibrio antiquarius	150340	Vibrio diabolicus	97.91	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746035.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746045.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746195.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746235.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.13	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746245.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.13	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746275.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.06	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746585.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.03	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_024746715.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.15	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_036881965.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.96	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_049410125.1	Vibrio antiquarius	150340	Vibrio diabolicus	97.97	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410145.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410185.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.12	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410225.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.1	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410265.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.01	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410305.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.13	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049410345.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049470235.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.05	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_049470275.1	Vibrio antiquarius	150340	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio antiquarius
GCA_053051195.1	Vibrio antiquarius	150340	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054112445.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.09	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054112485.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.09	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054112505.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054112525.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.1	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113605.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.09	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113705.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.92	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113725.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.92	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113805.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.07	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113905.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113925.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	97.9	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054113945.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_054890145.1	Vibrio antiquarius	150340	Vibrio diabolicus	98.13	GCA_001048675.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCA_055810595.1	Vibrio antiquarius	150340	Vibrio chemaguriensis	98.01	GCA_012275705.1	suspected_type	mismatch	Failed	Vibrio antiquarius
GCF_012275705.1	Vibrio chemaguriensis	2527672	Vibrio diabolicus	98.11	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio chemaguriensis
GCF_020223935.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_020223945.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054112425.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	97.96	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054112465.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.09	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054113625.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.16	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054113745.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054113765.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	97.98	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054113785.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.15	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_054113885.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_012275705.1	Vibrio chemaguriensis	2527672	Vibrio diabolicus	98.11	GCA_001048675.1	suspected_type	mismatch	Inconclusive	Vibrio chemaguriensis
GCA_020223935.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_020223945.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054112425.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	97.96	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054112465.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.09	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054113625.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.16	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054113745.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054113765.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	97.98	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCA_054113785.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.15	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
