[2025-10-20 21:00:24] INFO: CheckM v1.2.4
[2025-10-20 21:00:24] INFO: checkm qa --out_format 5 checkm_out/Vibrio.ms checkm_out
[2025-10-20 21:00:24] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-10-20 21:00:24] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-10-20 21:00:24] INFO: Calculating AAI between multi-copy marker genes.
[2025-10-20 21:00:24] INFO: Reading HMM info from file.
[2025-10-20 21:00:25] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Id
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01087	contig00013_401
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02142	contig00020_188
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01515	contig00009_249
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00347	contig00010_27
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02977	contig00010_84
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02533	contig00013_729
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02521	contig00008_76
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02057	contig00007_637
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02006	contig00013_263
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02974	contig00010_83
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01797	contig00013_307
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01051	contig00021_91
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01389	contig00013_914
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR03644	contig00007_402
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01379	contig00013_169
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01999	contig00013_262
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01390	contig00013_537
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00462	contig00007_752
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02639	contig00021_84
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01779	contig00013_975
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00528	contig00020_293
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00464	contig00013_91
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00365	contig00007_12
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02355	contig00017_23
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00214	contig00013_136
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR03504	contig00007_81
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR02120	contig00013_728
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01230	contig00004_197
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01745	contig00007_21
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01305	contig00017_8
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00668	contig00013_496
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00152	contig00007_433
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01818	contig00013_746
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR03138	contig00013_153
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00128	contig00014_70
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR00651	contig00014_42
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01749	contig00015_62
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01938	contig00007_247
