[2025-10-20 21:00:35] INFO: CheckM v1.2.4
[2025-10-20 21:00:35] INFO: checkm qa --out_format 6 checkm_out/Vibrio.ms checkm_out
[2025-10-20 21:00:35] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-10-20 21:00:35] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-10-20 21:00:35] INFO: Calculating AAI between multi-copy marker genes.
[2025-10-20 21:00:35] INFO: Reading HMM info from file.
[2025-10-20 21:00:36] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01933	contig00007_727,contig00012_15
11813_EXE22_2025_IVF5LA_PBC74148_final	TIGR01932	contig00007_726,contig00012_14
11813_EXE22_2025_IVF5LA_PBC74148_final	PF03476.11	contig00005_90,contig00018_62
11813_EXE22_2025_IVF5LA_PBC74148_final	PF13174.1	contig00011_7,contig00013_45,contig00021_134
11813_EXE22_2025_IVF5LA_PBC74148_final	PF03483.12	contig00005_89,contig00010_224
11813_EXE22_2025_IVF5LA_PBC74148_final	PF05552.7	contig00007_507,contig00019_45
11813_EXE22_2025_IVF5LA_PBC74148_final	PF00113.17	contig00007_474,contig00009_315
11813_EXE22_2025_IVF5LA_PBC74148_final	PF01980.11	contig00007_230,contig00017_148
11813_EXE22_2025_IVF5LA_PBC74148_final	PF12221.3	contig00007_727,contig00012_15
11813_EXE_01_2024_7_PBC74148_final	TIGR02420	chromosome00001_2384,plasmid00001_70
11813_EXE_01_2024_7_PBC74148_final	PF03118.10	chromosome00001_251,plasmid00004_12
11813_EXE_01_2024_7_PBC74148_final	PF13174.1	chromosome00001_1008,chromosome00001_1324
11813_EXE_01_2024_7_PBC74148_final	PF01170.13	chromosome00001_1481,chromosome00001_2500
11813_EXE_01_2024_7_PBC74148_final	PF01520.13	chromosome00001_2718,plasmid00004_9
11813_EXE_01_2025_M_PBC74148_final	TIGR02142	contig00014_13,contig00032_36
11813_EXE_01_2025_M_PBC74148_final	TIGR01224	contig00024_27,contig00024_29
11813_EXE_01_2025_M_PBC74148_final	TIGR03402	contig00010_55,contig00014_20
11813_EXE_01_2025_M_PBC74148_final	TIGR02012	contig00012_46,contig00012_47&&contig00012_48
11813_EXE_01_2025_M_PBC74148_final	TIGR03298	contig00012_146,contig00025_59
11813_EXE_01_2025_M_PBC74148_final	PF07517.9	contig00017_10&&contig00017_11,contig00017_9
11813_EXE_01_2025_M_PBC74148_final	PF03118.10	contig00008_64,contig00013_96
11813_EXE_01_2025_M_PBC74148_final	PF04222.7	contig00025_71,contig00035_17
11813_EXE_01_2025_M_PBC74148_final	PF01106.12	contig00014_21,contig00025_39
11813_EXE_03_2025_A_PBC74148_final	TIGR03197	contig00202_5,contig00266_3
11813_EXE_03_2025_A_PBC74148_final	TIGR01331	contig00442_4,contig00504_4
11813_EXE_03_2025_A_PBC74148_final	TIGR01081	contig00012_1,contig00494_8
11813_EXE_03_2025_A_PBC74148_final	TIGR03695	contig00160_2,contig00281_4
11813_EXE_03_2025_A_PBC74148_final	TIGR00460	contig00079_2,contig00478_6
11813_EXE_03_2025_A_PBC74148_final	TIGR01942	contig00002_1,contig00130_5
11813_EXE_03_2025_A_PBC74148_final	TIGR02541	contig00327_1,contig00418_1
11813_EXE_03_2025_A_PBC74148_final	TIGR00618	contig00013_2,contig00397_1
11813_EXE_03_2025_A_PBC74148_final	TIGR01227	contig00018_3,contig00323_1
11813_EXE_03_2025_A_PBC74148_final	TIGR01946	contig00103_3,contig00220_3
11813_EXE_03_2025_A_PBC74148_final	TIGR01929	contig00160_1,contig00281_3
11813_EXE_03_2025_A_PBC74148_final	PF12626.2	contig00002_1,contig00130_5
11813_EXE_03_2025_A_PBC74148_final	PF04997.7	contig00285_1,contig00335_1
11813_EXE_03_2025_A_PBC74148_final	PF04998.12	contig00285_1,contig00485_4
